	Count
P0_Ab:IGHV3-7:IGLV2-8	379
P0_Ab:IGHV4-30-4:IGLV1-44	525
P0_Ab:IGHV4-59:IGLV2-14	3591
P0_Ab:IGHV5-51:IGLV2-14	9058
P0_Ab:IGHV3-23:IGKV4-1	954
P0_Ab:IGHV3-43:IGKV1-33	26
P0_Ab:IGHV5-10-1:IGLV2-8	120
P0_Ab:IGHV3-23:IGLV2-14	5256
P0_Ab:IGHV5-51:IGLV6-57	656
P0_Ab:IGHV3-43D:IGLV1-47	1
P0_Ab:IGHV5-51:IGKV1-NL1	159
P0_Ab:IGHV3-23:IGKV3-11	988
P0_Ab:IGHV1-2:IGLV2-8	543
P0_Ab:IGHV4-59:IGLV1-44	1012
P0_Ab:IGHV3-7:IGLV2-14	1055
P0_Ab:IGHV1-46:IGLV1-40	239
P0_Ab:IGHV3-23:IGLV1-44	1475
P0_Ab:IGHV4-30-4:IGLV2-23	777
P0_Ab:IGHV4-30-2:IGLV1-47	52
P0_Ab:IGHV3-23:IGLV2-23	1919
P0_Ab:IGHV5-51:IGLV1-44	2529
P0_Ab:IGHV3-49:IGKV1-39	67
P0_Ab:IGHV4-39:IGLV2-8	1289
P0_Ab:IGHV4-38-2:IGLV2-8	128
P0_Ab:IGHV1-8:IGKV1-6	88
P0_Ab:IGHV3-23:IGKV1-17	482
P0_Ab:IGHV3-48:IGLV2-14	732
P0_Ab:IGHV4-34:IGLV2-23	371
P0_Ab:IGHV4-61:IGKV1-39	1649
P0_Ab:IGHV4-59:IGLV2-23	1370
P0_Ab:IGHV4-39:IGKV4-1	639
P0_Ab:IGHV5-51:IGLV2-23	3431
P0_Ab:IGHV3-43:IGKV3-20	33
P0_Ab:IGHV1-46:IGLV2-14	1654
P0_Ab:IGHV4-59:IGLV2-8	1308
P0_Ab:IGHV5-10-1:IGKV2-28	19
P0_Ab:IGHV1-46:IGKV1-33	235
P0_Ab:IGHV5-51:IGKV1-33	1293
P0_Ab:IGHV5-51:IGKV1-13	113
P0_Ab:IGHV1-18:IGKV1-39	1083
P0_Ab:IGHV4-38-2:IGLV2-11	35
P0_Ab:IGHV4-59:IGKV1-9	295
P0_Ab:IGHV4-34:IGKV1-39	649
P0_Ab:IGHV5-51:IGLV1-40	1187
P0_Ab:IGHV3-33:IGKV1-6	10
P0_Ab:IGHV5-51:IGLV2-8	3329
P0_Ab:IGHV4-34:IGLV1-44	258
P0_Ab:IGHV3-23:IGKV1-33	741
P0_Ab:IGHV3-23:IGLV1-51	314
P0_Ab:IGHV3-15:IGLV2-14	626
P0_Ab:IGHV4-39:IGLV2-14	3485
P0_Ab:IGHV1-18:IGKV2-30	138
P0_Ab:IGHV3-23:IGLV2-8	1828
P0_Ab:IGHV1-8:IGKV3D-20	18
P0_Ab:IGHV4-30-4:IGLV2-8	738
P0_Ab:IGHV4-59:IGKV1-5	945
P0_Ab:IGHV1-18:IGKV4-1	336
P0_Ab:IGHV3-23:IGKV1-39	3305
P0_Ab:IGHV1-18:IGLV2-11	170
P0_Ab:IGHV4-39:IGKV1-39	2352
P0_Ab:IGHV4-59:IGLV3-21	542
P0_Ab:IGHV1-18:IGKV1-17	165
P0_Ab:IGHV3-15:IGKV1-8	8
P0_Ab:IGHV1-2:IGLV2-14	1482
P0_Ab:IGHV5-51:IGLV1-51	511
P0_Ab:IGHV5-51:IGKV1-39	5707
P0_Ab:IGHV5-51:IGLV2-18	198
P0_Ab:IGHV5-51:IGKV3-11	1654
P0_Ab:IGHV3-21:IGKV1-13	12
P0_Ab:IGHV4-61:IGLV2-23	984
P0_Ab:IGHV7-4-1:IGLV2-23	403
P0_Ab:IGHV1-2:IGKV3-11	290
P0_Ab:IGHV3-9:IGLV2-11	54
P0_Ab:IGHV5-51:IGLV3-21	1344
P0_Ab:IGHV3-23:IGLV1-47	912
P0_Ab:IGHV7-4-1:IGLV2-14	999
P0_Ab:IGHV4-61:IGKV3-15	195
P0_Ab:IGHV1-3:IGKV1-39	428
P0_Ab:IGHV3-74:IGKV1-39	658
P0_Ab:IGHV1-8:IGKV2-30	149
P0_Ab:IGHV4-4:IGLV2-14	1178
P0_Ab:IGHV3-7:IGLV1-44	304
P0_Ab:IGHV1-18:IGLV2-8	655
P0_Ab:IGHV3-15:IGLV2-8	229
P0_Ab:IGHV5-51:IGKV1-12	955
P0_Ab:IGHV4-34:IGLV1-51	57
P0_Ab:IGHV1-2:IGLV1-44	473
P0_Ab:IGHV4-61:IGLV2-8	1014
P0_Ab:IGHV3-23:IGKV1-5	1313
P0_Ab:IGHV1-8:IGKV1-5	383
P0_Ab:IGHV1-18:IGLV2-23	593
P0_Ab:IGHV1-18:IGLV2-14	1653
P0_Ab:IGHV1-46:IGKV1-39	1041
P0_Ab:IGHV7-4-1:IGKV1-12	130
P0_Ab:IGHV3-53:IGLV1-44	102
P0_Ab:IGHV4-59:IGKV1-39	2471
P0_Ab:IGHV1-2:IGLV2-11	145
P0_Ab:IGHV4-30-4:IGKV4-1	349
P0_Ab:IGHV3-74:IGLV1-44	314
P0_Ab:IGHV4-39:IGLV2-23	1395
P0_Ab:IGHV4-39:IGKV1-5	825
P0_Ab:IGHV5-51:IGLV1-47	1552
P0_Ab:IGHV3-23:IGKV1-27	610
P0_Ab:IGHV3-9:IGKV1-27	54
P0_Ab:IGHV4-61:IGKV1-27	290
P0_Ab:IGHV3-73:IGKV1-39	153
P0_Ab:IGHV3-72:IGKV1-9	34
P0_Ab:IGHV1-8:IGLV2-14	1619
P0_Ab:IGHV4-4:IGLV1-44	329
P0_Ab:IGHV1-8:IGKV2-28	101
P0_Ab:IGHV4-39:IGKV3-20	552
P0_Ab:IGHV3-23:IGLV3-21	779
P0_Ab:IGHV1-2:IGKV1-12	128
P0_Ab:IGHV3-21:IGLV1-40	79
P0_Ab:IGHV3-73:IGLV7-46	27
P0_Ab:IGHV4-39:IGKV2-30	333
P0_Ab:IGHV1-8:IGKV1-12	165
P0_Ab:IGHV3-74:IGLV2-14	1102
P0_Ab:IGHV4-59:IGLV1-47	602
P0_Ab:IGHV4-61:IGKV1-12	278
P0_Ab:IGHV5-10-1:IGKV1-27	36
P0_Ab:IGHV5-51:IGLV2-11	855
P0_Ab:IGHV5-51:IGKV2-30	842
P0_Ab:IGHV3-66:IGLV2-11	20
P0_Ab:IGHV4-38-2:IGLV2-23	135
P0_Ab:IGHV4-61:IGLV2-14	2577
P0_Ab:IGHV3-33:IGLV2-11	12
P0_Ab:IGHV3-53:IGKV1-39	235
P0_Ab:IGHV3-23:IGLV2-11	512
P0_Ab:IGHV3-74:IGLV2-8	359
P0_Ab:IGHV1-18:IGKV1-6	106
P0_Ab:IGHV4-4:IGKV1-39	727
P0_Ab:IGHV1-46:IGLV1-47	291
P0_Ab:IGHV1-2:IGKV1-27	173
P0_Ab:IGHV3-64:IGKV1-5	25
P0_Ab:IGHV3-30:IGLV2-23	137
P0_Ab:IGHV3-7:IGKV1-39	672
P0_Ab:IGHV5-51:IGKV1-6	532
P0_Ab:IGHV4-61:IGKV1-5	670
P0_Ab:IGHV3-48:IGLV2-8	269
P0_Ab:IGHV5-51:IGLV7-46	772
P0_Ab:IGHV1-3:IGKV1-12	84
P0_Ab:IGHV3-64:IGLV1-44	18
P0_Ab:IGHV3-21:IGLV1-47	115
P0_Ab:IGHV3-53:IGLV2-14	368
P0_Ab:IGHV1-3:IGKV1-5	189
P0_Ab:IGHV1-2:IGKV1-NL1	31
P0_Ab:IGHV4-59:IGKV1-33	506
P0_Ab:IGHV1-46:IGKV2-28	124
P0_Ab:IGHV3-73:IGLV1-47	34
P0_Ab:IGHV4-39:IGKV1-8	48
P0_Ab:IGHV7-4-1:IGKV1-8	9
P0_Ab:IGHV3-23:IGKV3-15	389
P0_Ab:IGHV3-43:IGLV2-14	211
P0_Ab:IGHV1-8:IGLV1-51	70
P0_Ab:IGHV1-46:IGLV2-23	611
P0_Ab:IGHV5-51:IGKV1-5	2320
P0_Ab:IGHV7-4-1:IGKV4-1	169
P0_Ab:IGHV4-39:IGKV1-6	235
P0_Ab:IGHV5-51:IGKV3-20	1257
P0_Ab:IGHV4-4:IGLV2-23	464
P0_Ab:IGHV4-61:IGLV3-21	395
P0_Ab:IGHV5-51:IGLV7-43	138
P0_Ab:IGHV1-18:IGKV1-33	219
P0_Ab:IGHV1-18:IGLV6-57	134
P0_Ab:IGHV5-51:IGKV1D-13	59
P0_Ab:IGHV1-2:IGLV2-23	552
P0_Ab:IGHV4-34:IGKV1-33	164
P0_Ab:IGHV3-33:IGLV2-8	58
P0_Ab:IGHV3-9:IGLV6-57	33
P0_Ab:IGHV4-30-4:IGKV1-5	530
P0_Ab:IGHV3-74:IGLV1-47	185
P0_Ab:IGHV1-8:IGKV1-39	982
P0_Ab:IGHV4-39:IGKV1-17	316
P0_Ab:IGHV3-23:IGKV1-NL1	114
P0_Ab:IGHV3-9:IGKV2-28	33
P0_Ab:IGHV4-61:IGLV1-40	334
P0_Ab:IGHV4-59:IGKV1-12	382
P0_Ab:IGHV1-18:IGKV3-20	231
P0_Ab:IGHV4-39:IGKV1D-12	102
P0_Ab:IGHV4-59:IGKV4-1	668
P0_Ab:IGHV4-61:IGLV6-57	180
P0_Ab:IGHV3-9:IGLV2-14	498
P0_Ab:IGHV3-23:IGKV1D-13	36
P0_Ab:IGHV3-48:IGKV1-39	528
P0_Ab:IGHV3-15:IGLV1-47	102
P0_Ab:IGHV4-30-4:IGLV2-14	1978
P0_Ab:IGHV4-34:IGLV2-14	1007
P0_Ab:IGHV3-48:IGKV1-13	5
P0_Ab:IGHV5-10-1:IGLV2-11	21
P0_Ab:IGHV3-53:IGKV1-17	35
P0_Ab:IGHV4-39:IGLV3-21	474
P0_Ab:IGHV3-21:IGLV2-8	268
P0_Ab:IGHV4-39:IGLV1-44	1030
P0_Ab:IGHV1-18:IGLV1-51	83
P0_Ab:IGHV1-46:IGLV2-8	607
P0_Ab:IGHV3-21:IGKV1-12	68
P0_Ab:IGHV3-23:IGLV7-46	440
P0_Ab:IGHV3-7:IGLV3-21	193
P0_Ab:IGHV4-4:IGLV2-8	452
P0_Ab:IGHV4-61:IGLV8-61	65
P0_Ab:IGHV1-69:IGLV1-51	12
P0_Ab:IGHV1-2:IGKV3-20	259
P0_Ab:IGHV7-4-1:IGLV3-21	138
P0_Ab:IGHV4-39:IGLV1-51	204
P0_Ab:IGHV4-61:IGLV7-46	248
P0_Ab:IGHV3-23:IGKV1-6	281
P0_Ab:IGHV3-7:IGKV1-5	275
P0_Ab:IGHV5-51:IGKV2-28	678
P0_Ab:IGHV1-2:IGLV3-21	182
P0_Ab:IGHV4-4:IGLV3-21	166
P0_Ab:IGHV5-51:IGKV4-1	1548
P0_Ab:IGHV1-18:IGKV1-5	413
P0_Ab:IGHV1-2:IGLV7-43	16
P0_Ab:IGHV3-15:IGKV1-33	84
P0_Ab:IGHV1-3:IGKV3-11	123
P0_Ab:IGHV1-8:IGKV1-NL1	35
P0_Ab:IGHV3-9:IGLV1-47	85
P0_Ab:IGHV3-23:IGLV3-27	27
P0_Ab:IGHV4-39:IGKV3-11	661
P0_Ab:IGHV1-8:IGLV2-8	553
P0_Ab:IGHV4-59:IGLV2-11	329
P0_Ab:IGHV3-23:IGKV2-30	450
P0_Ab:IGHV3-15:IGKV1-12	67
P0_Ab:IGHV3-21:IGKV1D-12	26
P0_Ab:IGHV3-15:IGLV2-23	255
P0_Ab:IGHV4-34:IGKV4-1	172
P0_Ab:IGHV4-30-4:IGKV1-39	1333
P0_Ab:IGHV4-31:IGKV1-39	95
P0_Ab:IGHV3-73:IGLV2-14	213
P0_Ab:IGHV1-18:IGKV1-13	15
P0_Ab:IGHV4-61:IGKV3-20	351
P0_Ab:IGHV5-51:IGKV1-9	655
P0_Ab:IGHV5-51:IGKV1-17	809
P0_Ab:IGHV4-59:IGKV3-11	704
P0_Ab:IGHV3-33:IGKV1-39	104
P0_Ab:IGHV3-7:IGLV1-51	59
P0_Ab:IGHV5-51:IGKV3-15	687
P0_Ab:IGHV1-8:IGKV4-1	281
P0_Ab:IGHV3-74:IGLV1-51	49
P0_Ab:IGHV1-18:IGLV1-44	459
P0_Ab:IGHV4-59:IGKV2-24	3
P0_Ab:IGHV3-72:IGKV2-30	27
P0_Ab:IGHV3-11:IGKV1-39	97
P0_Ab:IGHV1-8:IGLV1-40	220
P0_Ab:IGHV3-7:IGKV3-11	174
P0_Ab:IGHV1-18:IGLV1-47	298
P0_Ab:IGHV1-3:IGLV2-14	630
P0_Ab:IGHV7-4-1:IGLV1-44	278
P0_Ab:IGHV3-23:IGKV1-9	343
P0_Ab:IGHV4-61:IGKV1D-12	51
P0_Ab:IGHV3-7:IGKV3-20	178
P0_Ab:IGHV4-30-4:IGKV3-20	307
P0_Ab:IGHV4-30-4:IGLV7-46	186
P0_Ab:IGHV4-59:IGKV3-20	530
P0_Ab:IGHV3-30-3:IGKV2-30	5
P0_Ab:IGHV4-39:IGKV1-9	250
P0_Ab:IGHV1-18:IGKV3-15	120
P0_Ab:IGHV3-13:IGKV1-5	44
P0_Ab:IGHV3-23:IGLV1-40	692
P0_Ab:IGHV1-46:IGKV2-29	31
P0_Ab:IGHV3-7:IGLV2-11	96
P0_Ab:IGHV4-30-4:IGKV1-17	176
P0_Ab:IGHV3-74:IGKV1-5	288
P0_Ab:IGHV3-9:IGKV3-11	86
P0_Ab:IGHV4-38-2:IGLV2-14	342
P0_Ab:IGHV4-4:IGKV3-11	228
P0_Ab:IGHV1-58:IGKV1-39	87
P0_Ab:IGHV1-46:IGKV4-1	311
P0_Ab:IGHV3-20:IGLV2-14	60
P0_Ab:IGHV3-15:IGKV1-39	393
P0_Ab:IGHV1-58:IGLV2-14	120
P0_Ab:IGHV3-7:IGKV1-9	91
P0_Ab:IGHV4-59:IGKV1-6	216
P0_Ab:IGHV4-30-4:IGKV3-11	356
P0_Ab:IGHV4-30-4:IGKV1-27	287
P0_Ab:IGHV3-48:IGLV2-23	248
P0_Ab:IGHV3-43:IGLV2-8	93
P0_Ab:IGHV4-39:IGLV1-40	484
P0_Ab:IGHV1-46:IGLV1-44	447
P0_Ab:IGHV4-4:IGLV1-47	209
P0_Ab:IGHV4-59:IGLV1-51	213
P0_Ab:IGHV4-59:IGKV1-27	452
P0_Ab:IGHV5-10-1:IGLV6-57	14
P0_Ab:IGHV4-59:IGLV2-18	76
P0_Ab:IGHV3-72:IGKV1-5	71
P0_Ab:IGHV3-64:IGKV1D-13	1
P0_Ab:IGHV3-48:IGLV2-11	67
P0_Ab:IGHV4-39:IGLV1-47	638
P0_Ab:IGHV3-9:IGLV3-21	80
P0_Ab:IGHV1-3:IGKV2-28	46
P0_Ab:IGHV3-74:IGLV7-46	81
P0_Ab:IGHV1-46:IGKV3-11	289
P0_Ab:IGHV1-8:IGLV8-61	35
P0_Ab:IGHV4-61:IGLV1-51	142
P0_Ab:IGHV4-38-2:IGKV1-8	7
P0_Ab:IGHV4-61:IGLV2-11	238
P0_Ab:IGHV4-34:IGKV1-5	257
P0_Ab:IGHV3-21:IGLV2-23	262
P0_Ab:IGHV4-30-4:IGLV2-11	174
P0_Ab:IGHV3-48:IGLV1-44	202
P0_Ab:IGHV4-59:IGKV1-8	25
P0_Ab:IGHV4-4:IGKV1-27	158
P0_Ab:IGHV4-4:IGKV2-28	104
P0_Ab:IGHV3-64:IGLV2-23	39
P0_Ab:IGHV3-43:IGLV1-44	80
P0_Ab:IGHV1-8:IGLV6-57	143
P0_Ab:IGHV1-58:IGKV1-12	13
P0_Ab:IGHV1-3:IGLV2-23	220
P0_Ab:IGHV4-61:IGLV1-44	708
P0_Ab:IGHV3-7:IGLV6-57	88
P0_Ab:IGHV4-38-2:IGKV3-11	77
P0_Ab:IGHV4-38-2:IGLV1-51	22
P0_Ab:IGHV4-59:IGKV3-15	233
P0_Ab:IGHV3-72:IGKV1-33	37
P0_Ab:IGHV1-2:IGLV1-47	249
P0_Ab:IGHV1-8:IGLV2-11	143
P0_Ab:IGHV4-34:IGLV2-8	364
P0_Ab:IGHV4-31:IGKV1-5	36
P0_Ab:IGHV3-7:IGLV7-43	16
P0_Ab:IGHV3-30:IGKV1-39	246
P0_Ab:IGHV1-8:IGLV2-23	596
P0_Ab:IGHV3-11:IGLV2-8	75
P0_Ab:IGHV4-61:IGKV1-13	30
P0_Ab:IGHV3-21:IGLV1-44	151
P0_Ab:IGHV3-23:IGLV7-43	80
P0_Ab:IGHV7-4-1:IGLV1-50	3
P0_Ab:IGHV3-23:IGLV1-50	31
P0_Ab:IGHV5-51:IGKV1-27	1077
P0_Ab:IGHV4-61:IGKV1-17	233
P0_Ab:IGHV4-30-2:IGLV2-8	94
P0_Ab:IGHV3-53:IGKV3-20	45
P0_Ab:IGHV5-10-1:IGLV2-23	74
P0_Ab:IGHV1-46:IGKV1-12	176
P0_Ab:IGHV3-48:IGLV1-40	74
P0_Ab:IGHV5-51:IGLV1-36	234
P0_Ab:IGHV3-21:IGKV1-33	95
P0_Ab:IGHV1-2:IGKV1-39	889
P0_Ab:IGHV4-38-2:IGKV1-33	47
P0_Ab:IGHV1-3:IGLV2-8	248
P0_Ab:IGHV1-8:IGLV3-21	223
P0_Ab:IGHV3-23:IGKV1-12	534
P0_Ab:IGHV4-39:IGKV1-12	381
P0_Ab:IGHV3-23:IGKV3-20	711
P0_Ab:IGHV1-2:IGKV2-28	118
P0_Ab:IGHV3-21:IGLV2-14	677
P0_Ab:IGHV4-30-4:IGKV2-30	161
P0_Ab:IGHV4-61:IGKV1-9	202
P0_Ab:IGHV1-18:IGKV3-11	304
P0_Ab:IGHV4-30-4:IGKV1-9	145
P0_Ab:IGHV4-61:IGKV2-40	15
P0_Ab:IGHV4-30-2:IGLV2-14	267
P0_Ab:IGHV5-51:IGKV2D-29	120
P0_Ab:IGHV4-39:IGLV6-57	245
P0_Ab:IGHV3-53:IGLV1-51	19
P0_Ab:IGHV3-49:IGKV1-5	29
P0_Ab:IGHV3-74:IGLV2-23	436
P0_Ab:IGHV3-23:IGLV6-57	347
P0_Ab:IGHV4-30-4:IGKV1-12	221
P0_Ab:IGHV1-69:IGLV2-14	223
P0_Ab:IGHV3-74:IGLV3-21	145
P0_Ab:IGHV4-30-4:IGLV3-21	304
P0_Ab:IGHV3-48:IGKV1-5	206
P0_Ab:IGHV3-73:IGKV1-5	52
P0_Ab:IGHV1-8:IGLV1-44	435
P0_Ab:IGHV4-30-4:IGKV1-33	278
P0_Ab:IGHV4-34:IGKV1-NL1	19
P0_Ab:IGHV3-9:IGKV1-39	309
P0_Ab:IGHV4-4:IGLV1-51	79
P0_Ab:IGHV4-38-2:IGLV1-47	58
P0_Ab:IGHV3-48:IGKV3-20	101
P0_Ab:IGHV3-43D:IGKV1-39	7
P0_Ab:IGHV3-15:IGKV3-20	78
P0_Ab:IGHV3-11:IGKV3-11	27
P0_Ab:IGHV3-21:IGLV8-61	21
P0_Ab:IGHV1-46:IGKV1-6	86
P0_Ab:IGHV1-2:IGKV1-17	127
P0_Ab:IGHV5-51:IGLV4-69	7
P0_Ab:IGHV3-13:IGKV3-11	21
P0_Ab:IGHV1-3:IGKV1-17	56
P0_Ab:IGHV4-4:IGKV1-33	170
P0_Ab:IGHV4-34:IGLV3-21	145
P0_Ab:IGHV1-69:IGLV1-44	39
P0_Ab:IGHV7-4-1:IGKV1-17	87
P0_Ab:IGHV4-61:IGKV1-33	350
P0_Ab:IGHV1-18:IGKV1-NL1	26
P0_Ab:IGHV5-51:IGKV1D-12	193
P0_Ab:IGHV3-7:IGLV2-23	390
P0_Ab:IGHV3-72:IGLV1-40	43
P0_Ab:IGHV7-4-1:IGKV3-20	156
P0_Ab:IGHV1-46:IGLV3-21	256
P0_Ab:IGHV3-30-3:IGLV1-40	12
P0_Ab:IGHV1-8:IGKV1-33	213
P0_Ab:IGHV4-59:IGLV3-10	3
P0_Ab:IGHV3-66:IGLV1-40	23
P0_Ab:IGHV5-10-1:IGLV7-46	20
P0_Ab:IGHV4-30-2:IGLV1-44	77
P0_Ab:IGHV3-21:IGKV1-39	396
P0_Ab:IGHV3-21:IGKV3-11	138
P0_Ab:IGHV4-39:IGKV1-27	438
P0_Ab:IGHV4-59:IGKV1D-13	17
P0_Ab:IGHV3-66:IGLV2-23	76
P0_Ab:IGHV3-43:IGLV2-23	87
P0_Ab:IGHV4-61:IGKV2-28	188
P0_Ab:IGHV3-21:IGKV2-30	60
P0_Ab:IGHV4-4:IGLV7-46	88
P0_Ab:IGHV3-21:IGKV1-5	171
P0_Ab:IGHV3-73:IGLV2-8	89
P0_Ab:IGHV3-48:IGKV4-1	128
P0_Ab:IGHV3-49:IGLV1-44	32
P0_Ab:IGHV1-8:IGKV3-11	244
P0_Ab:IGHV4-30-4:IGLV6-57	140
P0_Ab:IGHV4-34:IGLV1-36	20
P0_Ab:IGHV3-48:IGLV1-47	137
P0_Ab:IGHV1-8:IGKV1-17	142
P0_Ab:IGHV3-9:IGKV1-17	45
P0_Ab:IGHV3-13:IGLV2-8	43
P0_Ab:IGHV4-4:IGLV2-11	125
P0_Ab:IGHV1-8:IGKV1-9	112
P0_Ab:IGHV4-38-2:IGKV1-39	217
P0_Ab:IGHV1-3:IGKV1-6	25
P0_Ab:IGHV3-23:IGLV1-36	134
P0_Ab:IGHV3-48:IGLV7-43	15
P0_Ab:IGHV1-18:IGLV3-21	234
P0_Ab:IGHV1-69:IGKV1-39	128
P0_Ab:IGHV1-46:IGKV3-20	232
P0_Ab:IGHV4-39:IGKV3-15	248
P0_Ab:IGHV4-30-4:IGLV2-5	4
P0_Ab:IGHV3-9:IGLV2-8	207
P0_Ab:IGHV4-59:IGLV6-57	268
P0_Ab:IGHV1-46:IGLV7-43	20
P0_Ab:IGHV1-3:IGLV2-11	48
P0_Ab:IGHV3-7:IGKV1-12	114
P0_Ab:IGHV4-34:IGKV2D-29	15
P0_Ab:IGHV5-51:IGKV3D-15	79
P0_Ab:IGHV4-4:IGKV4-1	226
P0_Ab:IGHV3-7:IGLV1-40	149
P0_Ab:IGHV7-4-1:IGKV1-27	129
P0_Ab:IGHV3-11:IGLV2-14	183
P0_Ab:IGHV7-4-1:IGLV1-47	179
P0_Ab:IGHV4-39:IGKV1-33	493
P0_Ab:IGHV7-4-1:IGKV1-39	659
P0_Ab:IGHV3-7:IGKV2-28	77
P0_Ab:IGHV3-64:IGLV2-14	69
P0_Ab:IGHV4-30-4:IGLV1-40	286
P0_Ab:IGHV3-23:IGKV3D-15	46
P0_Ab:IGHV3-66:IGLV2-8	79
P0_Ab:IGHV3-33:IGLV2-14	167
P0_Ab:IGHV3-30-3:IGKV2-28	5
P0_Ab:IGHV4-34:IGKV3-20	146
P0_Ab:IGHV1-46:IGLV2-18	34
P0_Ab:IGHV4-61:IGLV7-43	44
P0_Ab:IGHV3-73:IGKV1-12	15
P0_Ab:IGHV1-46:IGLV1-51	82
P0_Ab:IGHV3-74:IGKV1-33	160
P0_Ab:IGHV5-10-1:IGLV3-21	46
P0_Ab:IGHV5-10-1:IGKV1-17	29
P0_Ab:IGHV1-69:IGLV1-40	27
P0_Ab:IGHV1-69:IGLV1-47	35
P0_Ab:IGHV1-18:IGLV1-40	254
P0_Ab:IGHV3-48:IGKV3-11	140
P0_Ab:IGHV3-7:IGKV3-15	79
P0_Ab:IGHV1-46:IGKV1D-12	48
P0_Ab:IGHV3-21:IGKV1-9	54
P0_Ab:IGHV4-59:IGLV1-40	450
P0_Ab:IGHV3-7:IGKV1-27	130
P0_Ab:IGHV3-30-3:IGKV3-11	16
P0_Ab:IGHV3-7:IGLV1-47	190
P0_Ab:IGHV3-72:IGLV2-14	301
P0_Ab:IGHV4-61:IGLV1-47	442
P0_Ab:IGHV1-46:IGKV3-15	111
P0_Ab:IGHV3-43:IGKV1-5	49
P0_Ab:IGHV3-9:IGLV1-36	13
P0_Ab:IGHV7-4-1:IGLV2-11	110
P0_Ab:IGHV4-59:IGKV2-30	346
P0_Ab:IGHV1-46:IGKV1-8	17
P0_Ab:IGHV4-34:IGLV7-46	82
P0_Ab:IGHV4-30-2:IGKV4-1	41
P0_Ab:IGHV3-21:IGKV1-17	62
P0_Ab:IGHV3-21:IGKV4-1	131
P0_Ab:IGHV4-30-2:IGLV2-23	101
P0_Ab:IGHV3-9:IGKV1-12	58
P0_Ab:IGHV4-30-4:IGLV1-50	8
P0_Ab:IGHV3-48:IGKV3-15	47
P0_Ab:IGHV3-30:IGKV3/OR2-268	2
P0_Ab:IGHV3-7:IGLV2-5	5
P0_Ab:IGHV7-4-1:IGLV2-8	328
P0_Ab:IGHV3-11:IGKV2-30	22
P0_Ab:IGHV3-13:IGLV2-23	60
P0_Ab:IGHV3-74:IGKV4-1	171
P0_Ab:IGHV4-59:IGKV1-17	304
P0_Ab:IGHV4-30-4:IGKV3-15	135
P0_Ab:IGHV4-30-4:IGKV2D-29	39
P0_Ab:IGHV3-53:IGLV2-8	151
P0_Ab:IGHV4-31:IGLV3-9	3
P0_Ab:IGHV1-2:IGKV3-15	117
P0_Ab:IGHV3-53:IGKV1-33	70
P0_Ab:IGHV3-30-3:IGLV2-14	69
P0_Ab:IGHV4-61:IGKV3-11	471
