"P0_Ab","P3_cm","P3_wt","IGH","IGL","P0_Ab_Ratio","P3_cm_Ratio","P3_wt_Ratio","P3_cmR","P3_wtR"
1919,59731,1013,"IGHV3-23","IGLV2-23",0.00811382182571561,0.252551689146336,0.00428311699293899,31.1261073475769,0.527879103699844
3305,4384,46603,"IGHV3-23","IGKV1-39",0.0230050673794409,0.0305156476222296,0.32438885176523,1.32647503782148,14.100756429652
118,13262,9668,"IGHV3-15","IGKV4-1",0.000943750849775659,0.106067998048515,0.0773235865731447,112.389830508475,81.9322033898305
5256,7688,2710,"IGHV3-23","IGLV2-14",0.0222231618113399,0.0325060251152171,0.0114582892900934,1.46270928462709,0.515601217656012
1828,3715,784,"IGHV3-23","IGLV2-8",0.012724134090656,0.0258589486579797,0.00545717785944983,2.03227571115974,0.428884026258206
626,1893,1451,"IGHV3-15","IGLV2-14",0.00500667823694545,0.0151400030391977,0.0116049362968176,3.02396166134185,2.31789137380192
2577,1724,1166,"IGHV4-61","IGLV2-14",0.0108959452031627,0.00728933237495243,0.00493002410046087,0.668994955374466,0.452464105549088
9058,1208,1635,"IGHV5-51","IGLV2-14",0.0630498941975721,0.00840850874262167,0.0113807216839292,0.133362773239126,0.180503422389048
1619,1386,1419,"IGHV1-8","IGLV2-14",0.0129485815744643,0.0110850735405853,0.0113490038629802,0.856084002470661,0.876466954910439
229,896,1577,"IGHV3-15","IGLV2-8",0.000968246585768044,0.00378842332248108,0.00666779417360788,3.91266375545852,6.88646288209607
5707,945,1200,"IGHV5-51","IGKV1-39",0.0397246352600512,0.0065778483127297,0.00835282325425994,0.16558612230594,0.210268091817067
498,838,1147,"IGHV3-9","IGLV2-14",0.00398294850159558,0.00670223061111866,0.0091735781753617,1.68273092369478,2.30321285140562
393,682,1237,"IGHV3-15","IGKV1-39",0.00166166335461503,0.00288359900215636,0.00523022282355926,1.735368956743,3.14758269720102
255,1422,344,"IGHV3-15","IGLV2-23",0.00177497494153024,0.00989809555629803,0.00239447599955452,5.57647058823529,1.34901960784314
1482,569,1171,"IGHV1-2","IGLV2-14",0.0118528708420977,0.00455079858917246,0.0093655275007398,0.383940620782726,0.790148448043185
3431,1045,562,"IGHV5-51","IGLV2-23",0.0145067861824024,0.00441841782588474,0.00237622087860978,0.304575925386185,0.163800641212475
954,906,694,"IGHV3-23","IGKV4-1",0.00664049448713665,0.00630638155696626,0.00483071611538033,0.949685534591195,0.727463312368973
177,486,1020,"IGHV4-61","IGKV1-6",0.00141562627466349,0.00388697383890653,0.00815784632856926,2.74576271186441,5.76271186440678
1293,1183,286,"IGHV5-51","IGKV1-33",0.00546699928121432,0.0050019026679633,0.00120925119445267,0.91492652745553,0.221191028615623
1178,570,778,"IGHV4-4","IGLV2-14",0.00819968816126517,0.00396759104577347,0.00541541374317853,0.483870967741935,0.66044142614601
